sp,sex,FL,RW,CL,CW,BD
B,M,8.1,6.7,16.1,19.0,7.0
B,M,8.5,7.0,17.0,20.0,7.2
B,M,8.8,7.2,18.1,21.0,7.5
B,M,9.0,7.4,18.8,21.8,7.7
B,M,9.2,7.6,19.5,22.5,7.9
B,M,9.5,7.8,20.0,23.0,8.1
B,M,9.8,8.0,20.5,23.5,8.3
B,M,10.0,8.2,21.0,24.0,8.5
B,M,10.2,8.4,21.5,24.5,8.7
B,M,10.5,8.6,22.0,25.0,9.0

B,F,10.8,9.0,23.0,26.5,9.8
B,F,11.0,9.2,23.5,27.0,10.0
B,F,11.2,9.4,24.0,27.5,10.2
B,F,11.5,9.6,24.5,28.0,10.4
B,F,11.8,9.8,25.0,28.5,10.6
B,F,12.0,10.0,25.5,29.0,10.8
B,F,12.2,10.2,26.0,29.5,11.0
B,F,12.5,10.4,26.5,30.0,11.2
B,F,12.8,10.6,27.0,30.5,11.5
B,F,13.0,10.8,27.5,31.0,11.8

O,M,8.0,6.6,16.0,19.2,7.1
O,M,8.4,6.9,17.0,20.2,7.3
O,M,8.7,7.1,18.0,21.2,7.6
O,M,9.0,7.3,18.7,22.0,7.8
O,M,9.3,7.5,19.3,22.8,8.0
O,M,9.6,7.7,19.8,23.3,8.2
O,M,9.9,7.9,20.3,23.8,8.4
O,M,10.1,8.1,20.8,24.3,8.6
O,M,10.3,8.3,21.3,24.8,8.8
O,M,10.6,8.5,21.8,25.3,9.1

O,F,10.9,9.1,23.2,26.7,9.9
O,F,11.2,9.3,23.8,27.2,10.1
O,F,11.4,9.5,24.3,27.8,10.3
O,F,11.7,9.7,24.8,28.3,10.5
O,F,12.0,9.9,25.3,28.8,10.7
O,F,12.3,10.1,25.8,29.3,10.9
O,F,12.6,10.3,26.3,29.8,11.1
O,F,12.9,10.5,26.8,30.3,11.4
O,F,13.2,10.7,27.3,30.8,11.7
O,F,13.5,10.9,27.8,31.3,12.0